LOCID,row,column,delx,dely,area,node,IBND,TYPE,X,Y,LOC,Layer
C001093_1,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,1,1
C001093_2,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,2,2
C001093_3,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,3,3
C001093_4,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,4,4
C001093_5,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,5,5
C001093_6,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,6,6
C001093_7,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,7,7
C001093_8,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,8,8
C001093_9,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,9,9
C001093_10,1,93,50,50.00,2500.00,-1.00,1,1,569425.00,141975.00,10,10
C001094_1,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,11,1
C001094_2,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,12,2
C001094_3,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,13,3
C001094_4,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,14,4
C001094_5,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,15,5
C001094_6,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,16,6
C001094_7,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,17,7
C001094_8,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,18,8
C001094_9,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,19,9
C001094_10,1,94,50,50.00,2500.00,-1.00,1,1,569475.00,141975.00,20,10
C001095_1,1,95,50,50.00,2500.00,-1.00,1,1,569525.00,141975.00,21,1
C001095_2,1,95,50,50.00,2500.00,-1.00,1,1,569525.00,141975.00,22,2
C001095_3,1,95,50,50.00,2500.00,-1.00,1,1,569525.00,141975.00,23,3
C001095_4,1,95,50,50.00,2500.00,-1.00,1,1,569525.00,141975.00,24,4
C001095_5,1,95,50,50.00,2500.00,-1.00,1,1,569525.00,141975.00,25,5
C001095_6,1,95,50,50.00,2500.00,-1.00,1,1,569525.00,141975.00,26,6
C001095_7,1,95,50,50.00,2500.00,-1.00,1,1,569525.00,141975.00,27,7
